trimestre,creditos_novis,leasing_novis,creditos_vis,leasing_vis
2017-01-01,7328.0,3400.0,15417.0,148.0
2017-04-01,8354.0,3486.0,14373.0,146.0
2017-07-01,8441.0,3720.0,14252.0,145.0
2017-10-01,9341.0,4766.0,21763.0,185.0
2018-01-01,7705.0,3846.0,11921.0,203.0
2018-04-01,8244.0,4803.0,14793.0,369.0
2018-07-01,8630.0,5356.0,14737.0,609.0
2018-10-01,9320.0,5073.0,18335.0,751.0
2019-01-01,7661.0,3417.0,11300.0,392.0
2019-04-01,8016.0,3359.0,14415.0,677.0
2019-07-01,8834.0,4550.0,17219.0,875.0
2019-10-01,8652.0,4525.0,15105.0,614.0
2020-01-01,6858.0,3395.0,14081.0,328.0
2020-04-01,4375.0,1605.0,7519.0,77.0
2020-07-01,6651.0,2497.0,15484.0,164.0
2020-10-01,10665.0,3976.0,17468.0,89.0
2021-01-01,9800.0,3107.0,13949.0,64.0
2021-04-01,10991.0,3669.0,16014.0,18.0
2021-07-01,13186.0,3907.0,20406.0,21.0
2021-10-01,13607.0,4041.0,18525.0,8.0
2022-01-01,6590.0,2760.0,15525.0,31.0
2022-04-01,7857.0,3056.0,15380.0,42.0
2022-07-01,5884.0,2450.0,15750.0,46.0
